LOB,ORDR_TYPE_ID,ORRE,PRDI,LORD,PHRD,RECO,WODI,REAC,JUJO,SWBO,FUCO,MAUP,ORCN,SA_FINAL,CUST_ORDR_NO,CUST_ORDR_NO,CUST_ORDR_NO,ORDR_TYPE_ID,ORDR_TYPE_ID,ORDR_TYPE_ID,WAITING_NUM,WAITING_NUM,WAITING_NUM,Label
,,,,,,,,,,,,,,,cnt,max,min,cnt,max,min,cnt,max,min,
INTERNET,O1,ORRE_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE,1,20260HB3405119N,20260HB3405119N,1,O1,O1,1,0,0,"['D0003', 'D0002', 'DI001']"
IPTV,VE,ORRE_2_OKEY,PRDI_2_OKEY,LORD_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,MAUP_3_MAUP534,NONE_NONE_NONE,LIDA_ST-LMEN_ST,1,20262FU350764AN,20262FU350764AN,1,VE,VE,1,1,1,['E0001']
IPTV,VE,ORRE_2_OKEY,PRDI_2_OKEY,LORD_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,WODI_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,FUCO_2_OKEY,MAUP_3_MAUP534,NONE_NONE_NONE,LIDA_ST,1,20260EM274497AN,20260EM274497AN,1,VE,VE,1,1,1,"['E0001', 'S0005']"
IPTV,VE,ORRE_2_OKEY,PRDI_2_OKEY,LORD_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,WODI_2_OKEY,REAC_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,FUCO_2_OKEY,MAUP_3_MAUP534,NONE_NONE_NONE,LIDA_ST-LMEN_MENE0005,1,20232GY459633AN,20232GY459633AN,1,VE,VE,1,1,1,"['E0001', 'S0005']"
IPTV,VE,ORRE_2_OKEY,PRDI_2_OKEY,LORD_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,WODI_2_OKEY,REAC_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,FUCO_2_OKEY,MAUP_3_MAUP534,NONE_NONE_NONE,LIDA_ST-LMEN_ST,1,20147FS536625AN,20147FS536625AN,1,VE,VE,1,1,1,['E0001']
IPTV,VE,ORRE_2_OKEY,PRDI_2_OKEY,LORD_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,WODI_2_OKEY,REAC_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,FUCO_2_OKEY,MAUP_3_MAUP536,NONE_NONE_NONE,LIDA_ST-LMEN_MENE0005,1,20260GB338692AN,20260GB338692AN,1,VE,VE,1,1,1,"['E0001', 'S0005']"
IPTV,VE,ORRE_2_OKEY,PRDI_2_OKEY,LORD_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,WODI_2_OKEY,REAC_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,FUCO_3_FUCO117,NONE_NONE_NONE,NONE_NONE_NONE,LIDA_ST-LMEN_ST,1,20085MT009547AN,20085MT009547AN,1,VE,VE,1,1,1,['E0002']
SOIP,SC,ORRE_2_OKEY,PRDI_2_OKEY,LORD_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,LIDA_ST,1,20262FU3507659N,20262FU3507659N,1,SC,SC,1,0,0,['S0003']
IPTV,VF,ORRE_2_OKEY,PRDI_2_OKEY,LORD_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,MAUP_2_OKEY,ORCN_2_OKEY,LIDA_ST,1,20262DY348585AN,20262DY348585AN,1,VF,VF,1,0,0,"['N001', 'S0005']"
IPTV,VF,ORRE_2_OKEY,PRDI_2_OKEY,LORD_3_LORD700,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,LIDA_ST,1,202611H3416809N,202611H3416809N,1,VF,VF,1,1,1,['E0006']
SOIP,SC,ORRE_2_OKEY,PRDI_2_OKEY,LORD_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,MAUP_2_OKEY,ORCN_2_OKEY,LBCS_CP-LNOD_CP,1,20262DK3484489N,20262DK3484489N,1,SC,SC,1,0,0,['N001']
SOIP,SC,ORRE_2_OKEY,PRDI_0_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,LIDA_ST,1,20265760960029N,20265760960029N,1,SC,SC,1,1,1,['N010']
IPTV,VI,ORRE_2_OKEY,PRDI_2_OKEY,LORD_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,WODI_2_OKEY,NONE_NONE_NONE,NONE_NONE_NONE,NONE_NONE_NONE,FUCO_2_OKEY,MAUP_2_OKEY,ORCN_2_OKEY,LIDA_ST-LMEN_ST,1,20258FP3150419N,20258FP3150419N,1,VI,VI,1,0,0,['N001']
