REASON,LOB,TASK,SCN,ODRNUM,SEQ,WOTC,WOTN,OFFICECD,OFFICECD_KOR,PROD_ID,RDD,RECEIPTDT,DO
본오더강제준공시도,INTERNET,Enrich,16459954530,20171I80817999N,15,O1,20506,R01033,진해국사,088M,2020-06-19 18:00:00,2020-06-19 18:08:12,360200024
본오더진행중,INTERNET,구성접수,68096055649,20167EH5969799N,3,OA,30551,R00446,고덕국사,099F,2020-06-15 16:00:00,2020-06-15 14:31:08,359402743
Stuck,INTERNET,구성접수,10990879040,18002J0958929BN,51,OE,10742,R00525,성남국사,0822,2020-06-23 13:00:00,2020-06-17 14:53:53,359767674
본오더진행중,INTERNET,구성접수,67046001177,20162FX471151AN,4,OK,16205,R00433,관악국사,099F,2020-06-19 16:00:00,2020-06-18 15:44:30,358831311
Stuck,INTERNET,구성접수,18301964930,19136B5355203AN,29,OK,8660,R00553,안중국사,0822,2020-04-01 09:00:00,2020-03-30 14:19:32,360180874
본오더진행중,INTERNET,구성접수,24586022900,20153AX540932AN,9,OK,4792,R03524,삼척국사,099F,2020-06-18 13:00:00,2020-06-17 17:08:31,357523028
본오더진행중,INTERNET,구성접수,65072578661,201709V504601AN,4,XG,39748,R00474,수지국사,088L,2020-06-22 16:00:00,2020-06-18 10:48:42,359858719
쌍명령진행중,INTERNET,구성접수,65072578661,201709V504601AN,4,XH,39748,R00474,수지국사,088L,2020-06-22 16:00:00,2020-06-18 10:48:42,359858673
Stuck,IOT,개통확인,67099384903,20169FU3607849N,1,UA,792,R00515,인천국사,0T02,2020-06-22 11:00:00,2020-06-17 15:51:57,359787163
Stuck,IPTV,Enrich,65051382602,20167BE5159199N,14,V1,37248,R02125,용전국사,0701,2020-06-15 17:00:00,2020-06-15 11:18:05,359353352
Stuck,IPTV,Enrich,64051390629,201749U3551059N,16,V1,37315,R02125,용전국사,0701,2020-06-22 15:00:00,2020-06-22 09:51:39,360278096
Stuck,IPTV,Enrich,68051455448,20171EF9656969N,16,V1,37313,R02125,용전국사,0701,2020-06-19 18:00:00,2020-06-19 14:20:16,360124724
Stuck,IPTV,Enrich,64051388676,201709E4957149N,13,V1,37260,R02125,용전국사,0701,2020-06-18 18:00:00,2020-06-18 09:18:49,359848448
Stuck,IPTV,Enrich,66051382685,20169BG2543899N,14,V1,37257,R02125,용전국사,0701,2020-06-17 18:00:00,2020-06-17 11:23:22,359715835
Stuck,IPTV,Enrich,66096457697,201725L1322479N,1,VA,36112,R01494,포항국사,070M,2020-06-20 05:00:00,2020-06-20 05:33:38,360209354
Stuck,IPTV,Enrich,65096128061,20168GG9986939N,1,VA,41291,R00521,서안양국사,070M,2020-06-16 16:00:00,2020-06-16 16:22:42,359625043
Stuck,IPTV,Enrich,67097738751,20148C20770699N,5,VA,80006,R02238,세종국사,070M,2020-06-16 16:00:00,2020-06-16 16:56:20,356859531
