"LABEL","ORDER_SEQ_ID","ORDER_TYPE_ID","ORD_CREATION_DATE","ORD_START_DATE","ORD_COMPLETION_DATE","REQUESTED_DELIVERY_DATE","DB_INSTANCE","ORD_STATE_ID","ORD_TXN_START_DATE","ORD_TXN_COMPLETION_DATE","ORD_TXN_REASON","VERSION","CREATION_VIEW_ID","STATE_ID","DATE_POS_STARTED","USERNAME","TASK_ID","TASK_TYPE","AUTHOR","COORD_SET_ID","EXECUTION_MODE"
"ACCEPT",203031132,10005,16/03/07,16/03/07,99/12/31,16/03/07,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10542,"A","oms-automation",1507509582,"U"
"ACCEPT",345769960,10005,17/07/12,17/07/12,99/12/31,17/07/12,1,5,20/06/22,20/06/22,"Order Amended",6,10488,2,20/06/22,"oms-automation",10409,"A","oms-automation",855177900,"U"
"ACCEPT",371000765,10005,17/10/23,17/10/23,99/12/31,17/10/23,2,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10409,"A","oms-automation",1923316811,"U"
"ACCEPT",390627848,10005,18/01/02,18/01/02,99/12/31,18/01/02,2,5,20/06/17,20/06/17,"Order Amended",47,10488,2,20/06/17,"oms-automation",10409,"A","oms-automation",1975687802,"U"
"ACCEPT",413509469,10005,18/03/29,18/03/29,99/12/31,18/03/29,2,5,20/06/18,20/06/18,"Order Amended",7,10488,2,20/06/18,"oms-automation",10509,"A","oms-automation",2082345765,"U"
"ACCEPT",509647318,10005,19/04/12,19/04/12,99/12/31,19/04/12,2,5,20/06/16,20/06/16,"Order Amended",41,10488,2,20/06/16,"oms-automation",10489,"A","oms-automation",2521690649,"U"
"ACCEPT",524805742,10005,19/06/12,19/06/12,99/12/31,19/06/12,1,5,20/05/29,20/05/29,"Order Amended",1,10488,2,20/06/20,"oms-automation",10409,"A","oms-automation",2983699645,"U"
"ACCEPT",524137621,10005,19/06/12,19/06/12,99/12/31,19/06/12,2,5,20/05/29,20/05/29,"Order Amended",1,10488,2,20/06/20,"oms-automation",10409,"A","oms-automation",2983699648,"U"
"ACCEPT",567493338,10005,19/12/13,19/12/13,99/12/31,19/12/13,2,5,20/06/17,20/06/17,"Order Amended",6,10488,2,20/06/17,"oms-automation",10509,"A","oms-automation",2783097522,"U"
"ACCEPT",582050570,10005,20/02/12,20/02/12,99/12/31,20/02/12,1,5,20/06/18,20/06/18,"Order Amended",1,10488,2,20/06/18,"oms-automation",10477,"A","oms-automation",2846785451,"U"
"ACCEPT",582049473,10005,20/02/12,20/02/12,99/12/31,20/02/12,1,5,20/06/18,20/06/18,"Order Amended",1,10488,2,20/06/18,"oms-automation",10477,"A","oms-automation",2846785447,"U"
"ACCEPT",596872185,10005,20/04/14,20/04/14,99/12/31,20/04/14,2,5,20/06/15,20/06/15,"Order Amended",1,10488,2,20/06/15,"oms-automation",10468,"A","oms-automation",2917481514,"U"
"ACCEPT",596872185,10005,20/04/14,20/04/14,99/12/31,20/04/14,2,5,20/06/15,20/06/15,"Order Amended",1,10488,2,20/06/15,"oms-automation",10657,"A","oms-automation",2917481523,"U"
"ACCEPT",599646649,10005,20/04/24,20/04/24,99/12/31,20/04/24,2,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10409,"A","oms-automation",2930351184,"U"
"ACCEPT",602607413,10005,20/05/11,20/05/11,99/12/31,20/05/11,2,5,20/06/19,20/06/19,"Order Amended",1,10488,2,20/06/19,"oms-automation",10509,"A","oms-automation",2944838817,"U"
"ACCEPT",605935060,10005,20/05/22,20/05/22,99/12/31,20/05/22,1,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10409,"A","oms-automation",2992866093,"U"
"ACCEPT",606277380,10005,20/05/22,20/05/22,99/12/31,20/05/22,2,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10409,"A","oms-automation",2992863931,"U"
"ACCEPT",608987583,10005,20/06/05,20/06/05,99/12/31,20/06/05,1,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10509,"A","oms-automation",2974850446,"U"
"ACCEPT",608904874,10005,20/06/04,20/06/04,99/12/31,20/06/04,1,5,20/06/15,20/06/15,"Order Amended",1,10488,2,20/06/16,"oms-automation",10620,"A","oms-automation",2986588392,"A"
"ACCEPT",608742903,10005,20/06/03,20/06/03,99/12/31,20/06/03,1,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10509,"A","oms-automation",2985396382,"U"
"ACCEPT",609834706,10005,20/06/08,20/06/08,99/12/31,20/06/08,1,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10509,"A","oms-automation",2976228992,"U"
"ACCEPT",610068391,10005,20/06/09,20/06/09,99/12/31,20/06/09,1,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10509,"A","oms-automation",2978546294,"U"
"ACCEPT",611074218,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/17,20/06/17,"Order Amended",1,10488,2,20/06/17,"oms-automation",10477,"A","oms-automation",2984574717,"U"
"ACCEPT",611065793,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/18,20/06/18,"Order Amended",1,10488,2,20/06/18,"oms-automation",10509,"A","oms-automation",2984493997,"U"
"ACCEPT",610794390,10005,20/06/11,20/06/11,99/12/31,20/06/11,2,5,20/06/19,20/06/19,"Order Amended",1,10488,2,20/06/19,"oms-automation",10477,"A","oms-automation",2981988200,"U"
"ACCEPT",610795841,10005,20/06/11,20/06/11,99/12/31,20/06/11,2,5,20/06/19,20/06/19,"Order Amended",1,10488,2,20/06/19,"oms-automation",10477,"A","oms-automation",2981988213,"U"
"ACCEPT",611073810,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/18,20/06/18,"Order Amended",1,10488,2,20/06/18,"oms-automation",10477,"A","oms-automation",2984573425,"U"
"ACCEPT",611465451,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985084120,"U"
"ACCEPT",611455642,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2984993729,"U"
"ACCEPT",611588749,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986257165,"U"
"ACCEPT",611455200,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2984973639,"U"
"ACCEPT",611596080,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986310165,"U"
"ACCEPT",611556706,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985927994,"U"
"ACCEPT",611413299,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/18,20/06/18,"Order Amended",1,10488,2,20/06/18,"oms-automation",10477,"A","oms-automation",2984571771,"U"
"ACCEPT",611747532,10005,20/06/17,20/06/17,99/12/31,20/06/17,1,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10509,"A","oms-automation",2987749187,"U"
"ACCEPT",611600842,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",14,10488,2,20/06/16,"oms-automation",10489,"A","oms-automation",2986373077,"U"
"ACCEPT",611748338,10005,20/06/17,20/06/17,99/12/31,20/06/17,1,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10509,"A","oms-automation",2987757159,"U"
"ACCEPT",611600185,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986369703,"U"
"ACCEPT",611506651,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985459241,"U"
"ACCEPT",611556075,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985923773,"U"
"ACCEPT",611589370,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986257195,"U"
"ACCEPT",611453434,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2984973572,"U"
"ACCEPT",611637949,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986724845,"U"
"ACCEPT",611637949,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986724855,"U"
"ACCEPT",611711450,10005,20/06/17,20/06/17,99/12/31,20/06/17,1,5,20/06/17,20/06/17,"Order Amended",1,10488,2,20/06/17,"oms-automation",10509,"A","oms-automation",2987386848,"U"
"ACCEPT",611597971,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986341346,"U"
"ACCEPT",611506371,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985455518,"U"
"ACCEPT",611508638,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985464817,"U"
"ACCEPT",611501282,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985404764,"U"
"ACCEPT",611594758,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986310141,"U"
"ACCEPT",611507318,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985456381,"U"
"ACCEPT",611556567,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985927991,"U"
"ACCEPT",611598204,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986330336,"U"
"ACCEPT",611453667,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/19,20/06/19,"Order Amended",1,10488,2,20/06/19,"oms-automation",10477,"A","oms-automation",2984970138,"U"
"ACCEPT",611601382,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986377311,"U"
"ACCEPT",611380066,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/22,20/06/22,"Order Amended",6,10488,2,20/06/22,"oms-automation",10509,"A","oms-automation",2984732566,"U"
"ACCEPT",611597083,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986330386,"U"
"ACCEPT",611507998,10005,20/06/15,20/06/15,99/12/31,20/06/15,1,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985467599,"U"
"ACCEPT",612130977,10005,20/06/17,20/06/17,99/12/31,20/06/17,2,5,20/06/17,20/06/17,"Order Amended",1,10488,2,20/06/17,"oms-automation",10431,"A","oms-automation",2987941916,"U"
"ACCEPT",611817820,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2984995444,"U"
"ACCEPT",611869089,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985457537,"U"
"ACCEPT",612076516,10005,20/06/17,20/06/17,99/12/31,20/06/17,2,5,20/06/17,20/06/17,"Order Amended",1,10488,2,20/06/17,"oms-automation",10477,"A","oms-automation",2987425855,"U"
"ACCEPT",611867147,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985445819,"U"
"ACCEPT",612496653,10005,20/06/20,20/06/20,99/12/31,20/06/20,2,5,20/06/20,20/06/20,"Order Amended",1,10488,2,20/06/20,"oms-automation",10431,"A","oms-automation",2991412944,"U"
"ACCEPT",612280964,10005,20/06/18,20/06/18,99/12/31,20/06/18,2,5,20/06/18,20/06/18,"Order Amended",1,10488,2,20/06/18,"oms-automation",10489,"A","oms-automation",2989346505,"U"
"ACCEPT",612493304,10005,20/06/20,20/06/20,99/12/31,20/06/20,2,5,20/06/20,20/06/20,"Order Amended",1,10488,2,20/06/20,"oms-automation",10431,"A","oms-automation",2991382379,"U"
"ACCEPT",611868272,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985453557,"U"
"ACCEPT",611963903,10005,20/06/16,20/06/16,99/12/31,20/06/16,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986379049,"U"
"ACCEPT",612181516,10005,20/06/18,20/06/18,99/12/31,20/06/18,2,5,20/06/18,20/06/18,"Order Amended",2,10488,2,20/06/18,"oms-automation",10509,"A","oms-automation",2988406699,"U"
"ACCEPT",612492124,10005,20/06/20,20/06/20,99/12/31,20/06/20,2,5,20/06/20,20/06/20,"Order Amended",1,10488,2,20/06/20,"oms-automation",10431,"A","oms-automation",2991382359,"U"
"ACCEPT",611868232,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985454558,"U"
"ACCEPT",611815808,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/19,20/06/19,"Order Amended",1,10488,2,20/06/19,"oms-automation",10477,"A","oms-automation",2984971854,"U"
"ACCEPT",612186066,10005,20/06/18,20/06/18,99/12/31,20/06/18,2,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10409,"A","oms-automation",2988437717,"U"
"ACCEPT",611866972,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985445805,"U"
"ACCEPT",611865378,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/19,20/06/19,"Order Amended",1,10488,2,20/06/19,"oms-automation",10477,"A","oms-automation",2985426039,"U"
"ACCEPT",611827065,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985082453,"U"
"ACCEPT",611870120,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985466041,"U"
"ACCEPT",612388565,10005,20/06/19,20/06/19,99/12/31,20/06/19,2,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10477,"A","oms-automation",2990426928,"U"
"ACCEPT",611963850,10005,20/06/16,20/06/16,99/12/31,20/06/16,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2986371368,"U"
"ACCEPT",612346064,10005,20/06/19,20/06/19,99/12/31,20/06/19,2,5,20/06/22,20/06/22,"Order Amended",1,10488,2,20/06/22,"oms-automation",10509,"A","oms-automation",2990011386,"U"
"ACCEPT",611869916,10005,20/06/15,20/06/15,99/12/31,20/06/15,2,5,20/06/16,20/06/16,"Order Amended",1,10488,2,20/06/16,"oms-automation",10477,"A","oms-automation",2985465196,"U"
